 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Calcular el costo estimado por tarea.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Actual Cost (AC) of Work Performed,,,,,NOTA: Poner el total de horas que se dedicaron a la tarea diariamente.,,,,,,,,,,,,,
Task Name,Porcentaje,Tiempo,Asignación,26/02/2018,27/02/2018,28/02/2018,1/03/2018,2/03/2018,5/03/2018,6/03/2018,7/03/2018,8/03/2018,9/03/2018,12/03/2018,13/03/2018,14/03/2018,15/03/2018,16/03/2018
US-21,-,-,-,,,,,,,,,,,,,,,
Análisis,"0,1200","0,589",Mariana y Ale,,"0,18",,,,,,,,,,,,,
Vista,"0,0900","0,442",Mariana y Ale,,"2,18",,,,,,,,,,,,,
Logica,"0,1200","0,589",Mariana y Ale,,,,"1,75",,,,,,,,,,,
Test,"0,1500","0,736",Mariana y Ale,,,,,"0,46",,,,,,,,,,
US-15,-,-,-,,,,,,,,,,,,,,,
Analisis,"0,12","0,59",IanCarlo - Ramón,,,,,,,,,,,,,,,
Vista,"0,12","0,59",IanCarlo - Ramón,,,,,,,,,,,,,,,
Logica,"0,15","0,74",IanCarlo - Ramón,,,,,,,,,,,,,,,
Test,"0,12","0,59",IanCarlo - Ramón,,,,,,,,,,,"2,00","1,00",,,
US-1,-,-,-,,,,,,,,,,,,,,,
Análisis,"0,25","1,23",Mancha,,,,,,,,,,,,,,"0,08",
Vista,"0,15","0,74",Paco,,,,,,,,,,,,,,"1,33",
Logica,"0,25","1,23",Mancha,,,,,,,,,,,,,,"0,08",
Test,"0,20","0,98",Mancha,,,,,,,,,,,,,,"0,22",
US-2,-,-,-,,,,,,,,,,,,,,,
Analisis,"0,12","0,59",Mancha,,,,,,,,,,,,,,"0,07",
Vista,"0,12","0,59",Mancha,,,,,,,,,,,,,,"0,05",
Logica,"0,15","0,74",Mancha,,,,,,,,,,,,,,"0,08",
Test,"0,12","0,59",Mancha,,,,,,,,,,,,,,"0,25",
US-22,-,-,-,,,,,,,,,,,,,,,
Análisis,"0,08","0,39",Mariana y Ale,,,,,"0,17",,,,,,,,,,
