Valor Ganado - Function points,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
This worksheet is used to help calculate the Earned Value (EV) or Budgeted Cost of Work Performed (BCWP).,,,,,,,,,,,,,,,,,Earned Value Management Template,
,,,,,,,,,,,,,,,,,© 2012 Vertex42 LLC,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,NOTA: Poner 100% el día que se acabó la tarea y arrastrar el 100 hasta final de iteración.,,,,,,,,,,,,,,
Task Name,Porcentaje,Tiempo,Asignación,26/02/2018,27/02/2018,28/02/2018,1/03/2018,2/03/2018,5/03/2018,6/03/2018,7/03/2018,8/03/2018,9/03/2018,12/03/2018,13/03/2018,14/03/2018,15/03/2018,16/03/2018
US-21,-,-,-,,,,,,,,,,,,,,,
Análisis,"0,1200","0,589",Mariana y Ale,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Vista,"0,0900","0,442",Mariana y Ale,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Logica,"0,1200","0,589",Mariana y Ale,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Test,"0,1500","0,736",Mariana y Ale,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
US-15,-,-,-,,,,,,,,,,,,,,,
Analisis,"0,12","0,59",IanCarlo - Ramón,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Vista,"0,12","0,59",IanCarlo - Ramón,,,,,,,,50%,50%,100%,100%,100%,100%,100%,100%
Logica,"0,15","0,74",IanCarlo - Ramón,,,,,,,50%,50%,50%,100%,100%,100%,100%,100%,100%
Test,"0,12","0,59",IanCarlo - Ramón,,,,,,,,,,,50%,50%,100%,100%,100%
US-1,-,-,-,,,,,,,,,,,,,,,
Análisis,"0,25","1,23",Mancha,,,,,,,,,,,,,,100%,100%
Vista,"0,15","0,74",Paco,,,,,,,,,,,,,,100%,100%
Logica,"0,25","1,23",Mancha,,,,,,,,,,,,,,100%,100%
Test,"0,20","0,98",Mancha,,,,,,,,,,,,,,100%,100%
US-2,-,-,-,,,,,,,,,,,,,,,
Analisis,"0,12","0,59",Mancha,,,,,,,,,,,,,,100%,100%
