,,,,,,,,,
,Task Name,Porcentaje,Tiempo,,,Valores WBS,,,
,Requerimientos,"20,00%","98,118",,,Requerimientos,35,,
,Diseño,"15,00%","73,5885",,,Implementacion,30,,
,US-15,"0,60","2,94354",,,Transition,35,,
20,Analisis,"0,12","0,588708",,,,,,
20,Vista,"0,12","0,588708",,,,,,
25,Logica,"0,15","0,735885",,,,,,
20,Test,"0,12","0,588708",,,,Estimación Horas Hombre,"490,59",
15,Release,"0,09","0,441531",,,,Function Points,"163,53",
,US-16,"0,40","1,96236",,,,Agile Points,156,
28,Analisis,"0,11","0,5494608",,,,Relación,"0,2",
29,Logica,"0,12","0,5690844",,,,,,
24,Test,"0,10","0,4709664",,,,,,
19,Release,"0,08","0,3728484",,,,,1era Iteracion,
,US-17,"0,60","2,94354",,,,,2da Iteración,
20,Analisis,"0,12","0,588708",,,,,3era Iteración,
20,Vista,"0,12","0,588708",,,,,,
25,Logica,"0,15","0,735885",,,,Valor Ganado,%,Costo
20,Test,"0,12","0,588708",,,,Requerimientos - Diseño,"35,00","171,71"
15,Release,"0,09","0,441531",,,,Implementación - Transición,"65,00","318,88"
,US-18,"0,60","2,94354",,,,Iteración 1,"8,91","68,78"
28,Analisis,"0,17","0,8241912",,,,Iteración 2,,
29,Logica,"0,17","0,8536266",,,,Iteración 3,,
24,Test,"0,14","0,7064496",,,,Iteración 4,,
19,Release,"0,11","0,5592726",,,,Iteración 5,,
,US-30,"0,60","2,94",,,,,,
20,Analisis,"0,12","0,588708",,,,,,
20,Vista,"0,12","0,588708",,,,,,
25,Logica,"0,15","0,735885",,,,,,
20,Test,"0,12","0,588708",,,,,,
15,Release,"0,09","0,441531",,,,,,
,US-20,"0,60","2,94",,,,,,
20,Analisis,"0,12","0,588708",,,,,,
20,Vista,"0,12","0,588708",,,,,,
25,Logica,"0,15","0,735885",,,,,,
20,Test,"0,12","0,588708",,,,,,
15,Release,"0,09","0,441531",,,,,,
,US-7,"1,00","4,9059",,,,,,
20,Analisis,"0,20","0,98118",,,,,,
20,Vista,"0,20","0,98118",,,,,,
25,Logica,"0,25","1,226475",,,,,,
20,Test,"0,20","0,98118",,,,,,
15,Release,"0,15","0,735885",,,,,,
,US-8,"0,40","1,96236",,,,,,
28,Analisis,"0,11","0,5494608",,,,,,
29,Logica,"0,12","0,5690844",,,,,,
24,Test,"0,10","0,4709664",,,,,,
19,Release,"0,08","0,3728484",,,,,,
,US-9,"0,60","2,94354",,,,,,
28,Analisis,"0,17","0,8241912",,,,,,
29,Logica,"0,17","0,8536266",,,,,,
24,Test,"0,14","0,7064496",,,,,,
19,Release,"0,11","0,5592726",,,,,,
,US-10,"0,40","1,96236",,,,,,
20,Analisis,"0,08","0,392472",,,,,,
20,Vista,"0,08","0,392472",,,,,,
25,Logica,"0,10","0,49059",,,,,,
20,Test,"0,08","0,392472",,,,,,
15,Release,"0,06","0,294354",,,,,,
,US-36,"0,60","2,94",,,,,,
20,Analisis,"0,12","0,588708",,,,,,
20,Vista,"0,12","0,588708",,,,,,
25,Logica,"0,15","0,735885",,,,,,
20,Test,"0,12","0,588708",,,,,,
15,Release,"0,09","0,441531",,,,,,
,US-37,"0,60","2,94",,,,,,
28,Analisis,"0,17","0,8241912",,,,,,
29,Logica,"0,17","0,8536266",,,,,,
24,Test,"0,14","0,7064496",,,,,,
19,Release,"0,11","0,5592726",,,,,,
,US-38,"0,40","1,96",,"66,57",40,15,54 horas,
20,Analisis,"0,08","0,392472",,,35,25,64 horas,
20,Vista,"0,08","0,392472",,,7.5,30,,
25,Logica,"0,10","0,49059",,,7.5,20,,
20,Test,"0,08","0,392472",,,5,10,,
15,Release,"0,06","0,294354",,,,,,
,US-28,"1,00","4,91",,,,,,
20,Analisis,"0,20","0,98118",,,,,,
20,Vista,"0,20","0,98118",,,,,,
25,Logica,"0,25","1,226475",,,,,,
20,Test,"0,20","0,98118",,,,,,
15,Release,"0,15","0,735885",,,,,,
,US-2,"0,60","2,94354",,,,,,
20,Analisis,"0,12","0,588708",,,,,,
20,Vista,"0,12","0,588708",,,,,,
25,Logica,"0,15","0,735885",,,,,,
20,Test,"0,12","0,588708",,,,,,
15,Release,"0,09","0,441531",,,,,,
,US-25,"0,40","1,96",,,,,,
20,Analisis,"0,08","0,392472",,,,,,
20,Vista,"0,08","0,392472",,,,,,
25,Logica,"0,10","0,49059",,,,,,
20,Test,"0,08","0,392472",,,,,,
15,Release,"0,06","0,294354",,,,,,
,US-42,"0,60","2,94",,,,,,
20,Analisis,"0,12","0,588708",,,,,,
20,Vista,"0,12","0,588708",,,,,,
25,Logica,"0,15","0,735885",,,,,,
20,Test,"0,12","0,588708",,,,,,
15,Release,"0,09","0,441531",,,,,,
,US-3,"0,60","2,94354",,,,,,
20,Analisis,"0,12","0,588708",,,,,,
20,Vista,"0,12","0,588708",,,,,,
25,Logica,"0,15","0,735885",,,,,,
20,Test,"0,12","0,588708",,,,,,
15,Release,"0,09","0,441531",,,,,,
,US-41,"0,40","1,96",,,,,,
20,Analisis,"0,08","0,392472",,,,,,
20,Vista,"0,08","0,392472",,,,,,
25,Logica,"0,10","0,49059",,,,,,
20,Test,"0,08","0,392472",,,,,,
15,Release,"0,06","0,294354",,,,,,
,US-39,"0,40","1,96",,,,,,
20,Analisis,"0,08","0,392472",,,,,,
20,Vista,"0,08","0,392472",,,,,,
25,Logica,"0,10","0,49059",,,,,,
20,Test,"0,08","0,392472",,,,,,
15,Release,"0,06","0,294354",,,,,,
,US-45,"0,40","1,96",,,,,,
20,Analisis,"0,08","0,392472",,,,,,
20,Vista,"0,08","0,392472",,,,,,
25,Logica,"0,10","0,49059",,,,,,
20,Test,"0,08","0,392472",,,,,,
15,Release,"0,06","0,294354",,,,,,
,US-35,"0,60","2,94",,,,,,
15,Analisis,"0,06","0,294354",,,,,,
25,Vista,"0,10","0,49059",,,,,,
30,Logica,"0,12","0,588708",,,,,,
20,Test,"0,08","0,392472",,,,,,
10,Release,"0,04","0,196236",,,,,,
,US-34,"1,60","7,85",,,,,,
15,Analisis,"0,09","0,441531",,,,,,
25,Vista,"0,15","0,735885",,,,,,
30,Logica,"0,18","0,883062",,,,,,
20,Test,"0,12","0,588708",,,,,,
10,Release,"0,06","0,294354",,,,,,
,US-4,"0,60","2,94354",,,,,,
20,Analisis,"0,12","0,588708",,,,,,
20,Vista,"0,12","0,588708",,,,,,
25,Logica,"0,15","0,735885",,,,,,
20,Test,"0,12","0,588708",,,,,,
15,Release,"0,09","0,441531",,,,,,
,US-13,"0,60","2,94",,,,,,
15,Analisis,"0,09","0,441531",,,,,,
