Plan Libelula,,,,,,,,,,
Reporte de Análisis de valor ganado,,,,,,,,,,
,,,,,,,,,,
Prepared By:,Team Libelula,,,Libelula,,,,,,
Date:,,,,16/03/2018,,,,,,
,,,INICIO I:,19/02/2018,,,,,,
For Period:,Iteración 1,,,,,,,,,
,,,,,,,,,,
Planned Value (PV) or Budgeted Cost of Work Scheduled (BCWS),,,,,,,,,,
Task Name,Porcentaje,Tiempo Estimado,Asignación,,,,,,,
Configurar Servidor,"3,5000","6,000",Mancha,,,,,,,
Dominio,"1,1500","2,000",Román,,,,,,,
US-21,-,-,-,,,,,,,
Release,"0,12","0,59",Ramón,,,,,,,
US-15,-,-,-,,,,,,,
Release,"0,09","0,44",Ramón,,,,,,,
US-1,-,-,-,,,,,,,
Release,"0,15","0,74",Mancha,,,,,,,
US-2,-,-,-,,,,,,,
Release,"0,09","0,44",Mancha,,,,,,,
US-22,-,-,-,,,,,,,
Release,"0,10","0,49",Mariana,,,,,,,
US-16,-,-,-,,,,,,,
Release,"0,08","0,37",Ramón,,,,,,,
US-3,-,-,-,,,,,,,
Release,"0,09","0,44",Carlos,,,,,,,
US-23,-,-,-,,,,,,,
Release,"0,09","0,44",Ramón,,,,,,,
US-17,-,-,-,,,,,,,
Release,"0,09","0,44",Ramón,,,,,,,
US-4,-,-,-,,,,,,,
Release,"0,09","0,44",Ramón,,,,,,,
US-24,-,-,-,,,,,,,
Release,"0,09","0,44",Ramón,,,,,,,
US-18,-,-,-,,,,,,,
Release,"0,11","0,56",Ramón,,,,,,,
US-6,-,-,-,,,,,,,
Release,"0,09","0,44",Ramón,,,,,,,
US-7,-,-,-,,,,,,,
Release,"0,15","0,74",Ramón,,,,,,,
US-8,-,-,-,,,,,,,
Release,"0,08","0,37",Ramón,,,,,,,
US-9,-,-,-,,,,,,,
Release,"0,11","0,56",Ramón,,,,,,,
US-10,-,-,-,,,,,,,
Release,"0,06","0,29",Ramón,,,,,,,
US-5,-,-,-,,,,,,,
