ID US,Requerimiento,ID AC,Acceptance Criteria Definition
1,Yo como administrador quiero iniciar sesión,1,El administrador ingresa su usuario y contraseña
2,Yo como administrador quiero cerrar sesión,2,El administrador selecciona el botón de cerrar sesión
3,Yo como super-administrador quiero registrar un administrador,3,"El super-administrador ingresa nombre, usuario, email y contraseña"
4,Yo como super-administrador quiero visualizar un administrador,4,"El super-administrador visualiza nombre, usuario, email y contraseña"
5,Yo como super-administrador quiero actualizar un administrador,5,"El super-administrador modifica nombre, usuario, email y contraseña"
6,Yo como super-administrador quiero eliminar un administrador,6,El super-administrador elimina un administrador 
7,Yo como administrador quiero registrar un torneo,7,"El administrador registra nombre, categoría, fecha de inicio"
8,Yo como administrador quiero visualizar un torneo,8,"El administrador visualiza nombre, categoría y fecha de inicio"
9,Yo como administrador quiero actualizar un torneo,9,"El administrador modifica nombre, categoria y fecha de inicio"
10,Yo como administrador quiero eliminar un torneo,10,El administrador elimina un torneo
11,Yo como administrador quiero registrar una convocatoria,11,"El administrador registra un torneo, costo de inscripción, costo de credencial, fecha de la siguiente junta y documentos anexos; esto campos seran agregados al modelo"
12,Yo como administrador quiero visualizar una convocatoria,12,"El administrador visualiza un torneo, costo de inscripción, costo de credencial, fecha de la siguiente junta y documentos anexos "
13,Yo como administrador quiero actualizar una convocatoria,13,"El administrador modifica un torneo, costo de inscripción, costo de credencial, fecha de la siguiente junta y documentos anexos "
14,Yo como administrador quiero eliminar una convocatoria,14,El administrador elimina una convocatoria
15,Yo como administrador quiero registrar un equipo,15,"El administrador registra nombre, representante, email de representante, telefono del representante, logo del equipo, color de visitante, color de local, cancha y horario"
16,Yo como administrador quiero visualizar un equipo,16,"El administrador visualiza nombre, representante, email de representante, telefono del representante, logo del equipo, color de visitante, color de local, cancha y horario"
17,Yo como administrador quiero actualizar un equipo,17,"El administrador modifica nombre, representante, email de representante, telefono del representante, logo del equipo, color de visitante, color de local, cancha y horario"
18,Yo como administrador quiero eliminar un equipo,18,El administrador elimina un equipo
19,Yo como administrador quiero generar una liga de pre-registro,19,El administrador selecciona el botón de generar registro
20,Yo como administrador quiero validar el pre-registro de un equipo,20,El administrador valida el pre-registro de un equipo
21,Yo como administrador quiero registrar una jugadora,21,"El administrador registra nombre, fecha de nacimiento, número, posición y fotografía de la jugadora"
22,Yo como administrador quiero visualizar una jugadora,22,"El administrador viualiza nombre, fecha de nacimiento, número, posición y fotografía de la jugadora"
23,Yo como administrador quiero actualizar una jugadora,23,"El administrador actualiza nombre, fecha de nacimiento, número, posición y fotografía de la jugadora"
24,Yo como administrador quiero eliminar una jugadora,24,El administrador elimina una jugadora
25,Yo como administrador quiero validar el pre-registro de una jugadora,25,El administrador valida el pre-registro de una jugadora
26,Yo como administrador quiero cerrar el pre-registro de un torneo,26,"El administrador selecciona el botón de cerrar el pre-registro del torneo, y ya no habrá cambios en los pre-registros"
27,Yo como administrador quiero cerrar el registro de un torneo,27,El administrador selecciona el botton de cerrar el registro del torneo y el rol de juego es generado.
28,Yo como administrador quiero modificar el rol de juego de un torneo,28,"El administrador modifica fecha, lugar y hora de un partido, y se envia una notificación a los representantes de ambos equipos"
29,Yo como administrador quiero generar un documento de acceso a las cédulas para el árbitro,29,"El administrador selecciona el boton de generar los codigos para acceder cédulas de una jornada, estas se envian al presidente del colegio de árbitros"
30,Yo como administrador quiero modificar un partido,30,"El administrador modifica el árbitro, fecha, lugar, tiempos, descanso, tolerancia, asistencia de una jugadora, goles de una jugadora, tarjetas (amarillas, rojas y azules) de una jugadora, y los incidentes del juego"
31,Yo como administrador quiero penalizar a un equipo,31,"El administrador le reduce puntos a un equipo, modifica el resultado de un partido o elimina un equipo de un torneo"
32,Yo como árbitro quiero acceder a una cédula,32,El árbitro ingresa a una cédula usando el código recibido
33,Yo como árbitro quiero imprimir una cédula,33,El árbitro genera el pdf de una cédula
34,Yo como árbitro quiero registrar una cédula en el sitio,34,"El árbitro registra al árbitro, fecha, lugar, tiempos, descanso, tolerancia, asistencia de una jugadora, goles de una jugadora, tarjetas (amarillas, rojas y azules) de una jugadora, y los incidentes del juego"
35,Yo como coach quiero acceder al pre-registro,35,El coach ingresa a un pre-registro usando la liga recibida
36,Yo como coach quiero registrar un equipo,36,"El coach registra nombre, representante, email de representante, telefono del representante, logo del equipo, color de visitante, color de local, cancha y horario"
37,Yo como coach quiero registrar jugadoras,37,"El coach registra nombre, fecha de nacimiento, número, posición y fotografía de la jugadora"
38,Yo como visitante quiero consultar la información general,38,"Un visitante consulta la misión, visión, valor agregado de la liga. De igual forma el nombre, puesto y foto de los administradores (árbitros y organizadores)"
39,Yo como visitante quiero consultar el contenido de facebook,39,Un visitante consulta el contenido del facebook de libelulas
40,Yo como visitante quiero consultar convocatorias,40,"Un visitante consulta un torneo, costo de inscripción, costo de credencial, fecha de la siguiente junta y documentos anexos "
41,Yo como visitante quiero consultar un torneo,41,"Un visitante consulta el nombre, categoría"
42,Yo como visitante quiero consultar la tabla general de un torneo,42,"Un visitante consulta la tabla general de un torneo. JJ, JG, JE, JP, GF, GC, DG, PTS"
43,Yo como visitante quiero consultar las estadísticas de un torneo,43,"Un visitante consulta los tres jugadores con más goles, los tres equipos con más goles, los tres jugadores con más tarjetas amarilla, los tres equipos con más tarjetas amarillas, los tres jugadores con más tarjetas rojas, los tres equipos con más tarjetas rojas, los tres jugadores con más tarjetas azules y los tres equipos con más tarjetas azules"
44,Yo como visitante quiero consultar un partido,44,"Un visitante consulta el nombre del árbitro, fecha, lugar, tiempos, descanso, tolerancia, asistencia de una jugadora, goles de una jugadora, tarjetas (amarillas, rojas y azules) de una jugadora, y los incidentes del juego"
45,Yo como visitante quiero consultar un equipo,45,"Un visitante visualiza nombre, representante, logo del equipo, color de visitante, color de local, cancha y horario, jugadoras, estadísticas y campeonatos"
46,Yo como visitante quiero consultar una jugadora,46,"Un visitante consulta el nombre, fecha de nacimiento, número, posición, fotografía de la jugadora y estadísticas"
47,Yo como visitante quiero solicitar un pre-registro a un torneo,47,Un visitante envia una forma de contacto o se comunica directamente con la organización
