,,,,,,,,,,,,
Nombre Proyecto: Libélula,,,,,,,,,,,,
Descripción del Proyecto: Gestionador de torneos. jugadoras y equipos para la liga libélula,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Requerimiento Funcional,RF ID,Estatus,Dependencias,Componente de Sistema,ID Criterio de Aceptación,ID Defecto,Versión,ID Modulo de Software,,ID Modulo de Software,Descripción
1,Yo como administrador quiero iniciar sesión,1,Autorizado,3,Libelulas/,3,AC1,1.0,2,,1,Landing
2,Yo como administrador quiero cerrar sesión,2,Autorizado,"1,3",,"1,3",AC2,1.0,2,,2,Administrador
3,Yo como super-administrador quiero registrar un administrador,3,Autorizado,-,Libelulas/administrador/views.py agregar_administrador  Libelulas/administrador/urls.py agregar_administrador Libelulas/administrador/templates/agregar_administrador.html,-,AC3,1.0,2,,3,Partido
4,Yo como super-administrador quiero visualizar un administrador,4,Autorizado,3,"Libelulas/administrador/views.py lista_administrador, Libelulas/administrador/urls.py lista_administrador Libelulas/administrador/templates/lista_administrador.html",3,AC4,1.0,2,,4,Torneo
5,Yo como super-administrador quiero actualizar un administrador,5,Autorizado,"3,4
","Libelulas/administrador/views.py editar_administrador, Libelulas/administrador/urls.py editar_administrador Libelulas/administrador/templates/editar_administrador.html","3,4
",AC5,1.0,2,,5,Equipo
6,Yo como super-administrador quiero eliminar un administrador,6,Autorizado,"3,4","Libelulas/administrador/views.py eliminar_administrador, Libelulas/administrador/urls.py eliminar_administrador Libelulas/administrador/templates/eliminar_administrador.html","3,4",AC6,1.0,2,,6,Jugadoras
7,Yo como administrador quiero registrar un torneo,7,Autorizado,-,Libelulas/torneo/views.py crear_torneo Libelulas/torneo/urls.py crear_torneo Libelulas/torneo/templates/torneo/agregar_torneo.html,-,AC7,1.0,4,,,
8,Yo como administrador quiero visualizar un torneo,8,Autorizado,7,Libelulas/torneo/views.py detalle_torneo  Libelulas/torneo/views.py lista_torneo Libelulas/torneo/urls.py lista_torneos Libelulas/torneo/urls.py detalle_torneos Libelulas/torneo/templates/torneo/torneo_detail.html Libelulas/torneo/templates/torneo/torneo_list.html,7,AC8,1.0,4,,,
9,Yo como administrador quiero actualizar un torneo,9,Autorizado,"7,8",Libelulas/torneo/views.py crear_torneo Libelulas/torneo/urls.py crear_torneo Libelulas/torneo/templates/torneo/agregar_torneo.html,"7,8",AC9,1.0,4,,,
10,Yo como administrador quiero eliminar un torneo,10,Autorizado,"7,8",Libelulas/torneo/views.py crear_torneo Libelulas/torneo/urls.py crear_torneo Libelulas/torneo/templates/torneo/agregar_torneo.html,"7,8",AC10,1.0,4,,,
11,Yo como administrador quiero registrar una convocatoria,11,Autorizado,7,,7,AC11,1.0,4,,,
12,Yo como administrador quiero visualizar una convocatoria,12,Autorizado,11,,11,AC12,1.0,4,,,
13,Yo como administrador quiero actualizar una convocatoria,13,Autorizado,"11,12",,"11,12",AC13,1.0,4,,,
14,Yo como administrador quiero eliminar una convocatoria,14,Implementado,"11,12",,"11,12",AC14,1.0,4,,,
15,Yo como administrador quiero registrar un equipo,15,Autorizado,-,Libelulas/equipo/views.py agregar_equipo Libelulas/equipo/urls.py agregar_equipo Libelulas/equipo/templates/equipo/agregar_equipo.html,-,AC15,1.0,5,,,
16,Yo como administrador quiero visualizar un equipo,16,Autorizado,15,Libelulas/equipo/views.py lista_equipos Libelulas/equipo/views.py detalle_equipo  Libelulas/equipo/urls.py lista_equipos  Libelulas/equipo/urls.py detalle_equipo Libelulas/equipo/templates/equipo/equipo_detail.html Libelulas/equipo/templates/equipo/equipo_list.html,15,AC16,1.0,5,,,
17,Yo como administrador quiero actualizar un equipo,17,Autorizado,"15,16",Libelulas/equipo/views.py editar_equipo Libelulas/equipo/urls.py editar_equipo Libelulas/equipo/templates/equipo/equipo_update.html,"15,16",AC17,1.0,5,,,
18,Yo como administrador quiero eliminar un equipo,18,Autorizado,"15,16",Libelulas/equipo/views.py borrar_equipo Libelulas/equipo/urls.py borrar_equipo Libelulas/equipo/templates/equipo/equipo_confirm_delete.html,"15,16",AC18,1.0,5,,,
19,Yo como administrador quiero generar una liga de pre-registro,19,Implementado,-,,-,AC19,1.0,5,,,
20,Yo como administrador quiero validar el pre-registro de un equipo,20,Implementado,19,,19,AC20,1.0,5,,,
21,Yo como administrador quiero registrar una jugadora,21,Autorizado,-,Libelulas/jugadora/views.py agregar_jugadora Libelulas/jugadora/urls.py agregar_jugadora Libelulas/jugadora/templates/jugadora/agregar_jugadora.html,-,AC21,1.0,6,,,
22,Yo como administrador quiero visualizar una jugadora,22,Autorizado,21,Libelulas/jugadora/views.py ver_jugadora Libelulas/jugadora/views.py detalle_jugadora Libelulas/jugadora/urls.py ver_jugadoras  Libelulas/jugadora/urls.py detalle_jugadora Libelulas/jugadora/templates/jugadora/ver_jugadora.html Libelulas/jugadora/templates/jugadora/jugadora_detail.html,21,AC22,1.0,6,,,
23,Yo como administrador quiero actualizar una jugadora,23,Autorizado,"21,22",Libelulas/jugadora/views.py editar_jugadora Libelulas/jugadora/urls.py editar_jugadora Libelulas/jugadora/templates/jugadora/editar_jugadora.html,"21,22",AC23,1.0,6,,,
24,Yo como administrador quiero eliminar una jugadora,24,Autorizado,"21,22",Libelulas/jugadora/views.py eliminar_jugadora Libelulas/jugadora/urls.py eliminar_jugadora Libelulas/jugadora/templates/jugadora/jugadora_confirm_delete.html,"21,22",AC24,1.0,6,,,
25,Yo como administrador quiero validar el pre-registro de una jugadora,25,Implementado,25,,25,AC25,1.0,6,,,
26,Yo como administrador quiero cerrar el pre-registro de un torneo,26,Implementado,25,,25,AC26,1.0,5,,,
27,Yo como administrador quiero cerrar el registro de un torneo,27,Autorizado,"7,15,21",,"7,15,21",AC27,1.0,4,,,
28,Yo como administrador quiero modificar el rol de juego de un torneo,28,Autorizado,27,,27,AC28,1.0,4,,,
29,Yo como administrador quiero generar un documento de acceso a las cédulas para el árbitro,29,Autorizado,27,,27,AC29,1.0,3,,,
30,Yo como administrador quiero modificar un partido,30,Autorizado,34,,34,AC30,1.0,3,,,
31,Yo como administrador quiero penalizar a un equipo,31,Autorizado,34,,34,AC31,1.0,4,,,
32,Yo como árbitro quiero acceder a una cédula,32,Implementado,29,,29,AC32,1.0,3,,,
33,Yo como árbitro quiero imprimir una cédula,33,Implementado,29,,29,AC33,1.0,3,,,
34,Yo como árbitro quiero registrar una cédula en el sitio,34,Implementado,"7,15,21,32,33",,"7,15,21,32,33",AC34,1.0,3,,,
35,Yo como coach quiero acceder al pre-registro,35,Implementado,25,,25,AC35,1.0,5,,,
36,Yo como coach quiero registrar un equipo,36,Implementado,25,,25,AC36,1.0,5,,,
37,Yo como coach quiero registrar jugadoras,37,Implementado,25,,25,AC37,1.0,6,,,
38,Yo como visitante quiero consultar la información general,38,Autorizado,-,Libelulas/landing/views.py vre_organizadores  Libelulas/landing/urls.py vre_organizadores  Libelulas/landing/urls.py main Libelulas/Landing/templates/main.html Libelulas/Landing/templates/organizadores.html,-,AC38,1.0,1,,,
39,Yo como visitante quiero consultar el contenido de facebook,39,Diseñado,-,,-,AC39,1.0,1,,,
40,Yo como visitante quiero consultar convocatorias,40,Autorizado,11,,11,AC40,1.0,1,,,
41,Yo como visitante quiero consultar un torneo,41,Autorizado,7,,7,AC41,1.0,1,,,
42,Yo como visitante quiero consultar la tabla general de un torneo,42,Autorizado,"7,15,21,34",,"7,15,21,34",AC42,1.0,1,,,
43,Yo como visitante quiero consultar las estadísticas de un torneo,43,Autorizado,"7,15,21,34",,"7,15,21,34",AC43,1.0,1,,,
44,Yo como visitante quiero consultar un partido,44,Autorizado,34,,34,AC44,1.0,1,,,
45,Yo como visitante quiero consultar un equipo,45,Autorizado,15,,15,AC45,1.0,1,,,
46,Yo como visitante quiero consultar una jugadora,46,Autorizado,21,,21,AC46,1.0,1,,,
47,Yo como visitante quiero solicitar un pre-registro a un torneo,47,Implementado,7,,7,AC47,1.0,1,,,
