ID Historia de usuario,CASOS DE USO,Análisis,Aprobado,Diseñado,Implementado,Pruebas,Autorizado,Operando
1,Yo como usuario quiero ver una convocatoria,Si,Si,No,No,No,No,No
2,Yo como usuario quiero ver un equipo,Si,Si,No,No,No,No,No
3,Yo como usuario quiero ver una jugadora,Si,Si,No,No,No,No,No
4,Yo como usuario quiero ver un partido,Si,Si,No,No,No,No,No
5,Yo como usuario quiero contactar a la organización para registrarme,Si,Si,No,No,No,No,No
6,Yo como usuario quiero ver la información de presentación,Si,Si,No,No,No,No,No
7,Yo como usuario quiero ver la tabla de posicionamiento,Si,Si,No,No,No,No,No
8,Yo como usuario quiero ver las estadísticas de la liga,Si,Si,No,No,No,No,No
9,Yo como usuario quiero ver el calendario/rol de juego,Si,Si,No,No,No,No,No
10,Yo como Administrador quiero crear una convocatoria,Si,Si,No,No,No,No,No
11,Yo como Administrador quiero cambiar una convocatoria,Si,Si,No,No,No,No,No
12,Yo como Administrador quiero eliminar una convocatoria,Si,Si,No,No,No,No,No
13,Yo como Administrador quiero crear una liga,Si,Si,No,No,No,No,No
14,Yo como Administrador quiero eliminar una liga,Si,Si,No,No,No,No,No
15,Yo como Administrador quiero cambiar una liga,Si,Si,No,No,No,No,No
16,Yo como Administrador quiero ver la lista de las ligas,Si,Si,No,No,No,No,No
17,Yo como Administrador quiero validar el registro de un equipo,Si,Si,No,No,No,No,No
18,Yo como coach quiero pre-registrar a un equipo,Si,Si,No,No,No,No,No
19,Yo como Administrador quiero descalificar a un equipo,Si,Si,No,No,No,No,No
20,Yo como Administrador quiero cambiar a un equipo,Si,Si,No,No,No,No,No
21,Yo como coach quiero editar un equipo pre-registrado que no este validado,Si,Si,No,No,No,No,No
22,Yo como Administrador quiero poner a un equipo en la liga,Si,Si,No,No,No,No,No
23,Yo como coach quiero editar una jugadora pre-registrada que no este validada,Si,Si,No,No,No,No,No
24,Yo como coach quiero pre-registrar a una jugadora,Si,Si,No,No,No,No,No
25,Yo como Administrador quiero validar una jugadora,Si,Si,No,No,No,No,No
26,Yo como Administrador quiero eliminar una jugadora,Si,Si,No,No,No,No,No
27,Yo como Administrador quiero editar una jugadora,Si,Si,No,No,No,No,No
28,Yo como Administrador quiero ver una jugadora,Si,Si,No,No,No,No,No
29,Yo como Administrador quiero crear una jugadora,Si,Si,No,No,No,No,No
30,Yo como Administrador quiero crear un equipo,Si,Si,No,No,No,No,No
31,Yo como Administrador quiero quitar a un equipo de una liga antes de que empiece la liga,Si,Si,No,No,No,No,No
32,Yo como árbitro quiero agregar una cédula,Si,Si,No,No,No,No,No
33,Yo como árbitro quiero actualizar una cédula,Si,Si,No,No,No,No,No
34,Yo como árbitro/Administrador quiero descargar una cédula,Si,Si,No,No,No,No,No
35,Yo como Administrador quiero cambiar el calendario,Si,Si,No,No,No,No,No
36,Yo como Administrador quiero checar los reclamos del partido,Si,No,No,No,No,No,No
37,Yo como Administrador quiero agregar un reclamo,Si,No,No,No,No,No,No
38,Yo como Administrador quiero eliminar un reclamo,Si,No,No,No,No,No,No
39,Yo como Administrador quiero resolver un reclamo,Si,No,No,No,No,No,No
40,Yo como Administrador quiero mantener un registro de los reclamos por liga,Si,No,No,No,No,No,No
41,Yo como Administrador quiero loggearme,Si,Si,No,No,No,No,No
42,Yo como Administrador quiero desloggearme,Si,Si,No,No,No,No,No
43,Yo como Administrador quiero cambiar la información de la cuenta,Si,Si,No,No,No,No,No
44,Yo como Administrador quiero agregar un nuevo Administrador,Si,Si,No,No,No,No,No
45,Yo como Administrador quiero eliminar un Administrador,Si,Si,No,No,No,No,No
46,Yo como Administrador quiero agregar contenido de fb a la página,Si,Si,No,,,,
